"CITY","STATE","LAT","LON","KOPPEN","ELEVATION","ELEVATION_CHANGE","DISTANCE_TO_COAST","WIND"
"LAWTON","OK",34.56,-98.42,"Cfa",322.77,205.69,405.17,4.48
"LEXINGTON","KY",38.03,-84.6,"Cfa",283.86,132.98,458.58,4.34
"LINCOLN","NE",40.83,-96.7,"Dfa",346.5,102.09,772.94,2.84
"LITTLE_ROCK","AR",34.73,-92.2,"Cfa",76.74,33.62,329.23,3.59
"LITTLETON","NH",44.37,-71.55,"Dfb",314.56,438.27,100.17,1.63
"LOGAN","UT",41.78652,-111.85187,"Dfb",1355.66,224.15,701.23,1.91
"LOS_ANGELES","CA",34.02355,-118.2912,"Csb",53.58,573.13,11.76,1.28
"LOUISVILLE","KY",38.17,-85.7,"Cfa",140.82,71.08,512.54,2.42
"LUBBOCK","TX",33.67,-101.8,"BSk",1001.96,42.4400000000001,492.37,4.86
"MACON","MO",40.1,-92.5,"Dfa",268.31,26.56,688.34,4.96
"MADISON","WI",43.14,-89.3,"Dfb",286.47,43.03,860.23,3.26
"MALTA","MT",48.36694,-107.91934,"BSk",686.68,158.39,985.07,3.74
"MASON_CITY","IA",43.15,-93.33,"Dfa",363.17,27.62,906.34,4.86
"MAYAGUEZ","PR",18.5,-67.13,"Am",62.15,62.14,341.82,NA
"MEDFORD","OR",42.37503,-122.8769,"Csb",400.25,895.09,95.7,1.27
"MEMPHIS","TN",35.06,-89.9,"Cfa",86.66,24.16,322.79,2.79
"MIAMI_BEACH","FL",25.91,-80.2,"Am",1.02,1.18,3.91,1.91
"MIDDLETOWN","CT",41.51,-72.83,"Dfa",29.8,113.03,15.18,3.02
"MIDDLETOWN","RI",41.53,-71.28,"Cfa",46.63,46.63,2.3,3.23
"MIDLAND_ODESSA","TX",32.04,-102,"BSk",848.52,36.89,422.1,3.49
"MILWAUKEE","WI",42.96,-87,"Dfa",175.89,76.34,735.04,7.2
"MISSOULA","MT",46.92083,-114.092,"Dfb",974.09,1443.64,564.06,2.5
"MOBILE","AL",30.61,-88,"Cfa",0,47.94,4.09,5.29
"MONTGOMERY","AL",32.3,-86.4,"Cfa",63.73,19.45,122.69,3.18
"MONTPELIER","VT",44.2,-72.57,"Dfb",356.62,111.64,106.99,2.94
"MORGANTOWN","WV",39.65,-79.92,"Cfb",375,196.62,195.77,3.58
"MPLS_ST_PAUL","MN",44.93,-93,"Dfa",292.61,44.55,1021.56,3.11
"NASHUA","NH",42.78,-71.51,"Dfb",58.21,280.95,43.07,2.46
"NASHVILLE","TN",36.12,-86.6,"Cfa",147.52,30.12,381.53,4.54
"NEW_CASTLE","DE",39.67,-75.61,"Cfa",15.18,85.81,1.87,2.87
"NEW_ORLEANS","LA",30.05,-90,"Cfa",-0.61,1.7,0.3,4.53
"NEW_YORK_CITY","NY",40.78,-73.9,"Cfa",4.88,113.69,0.84,2.76
"NEWARK","NJ",40.68,-74.1,"Cfa",6.25,112.32,1.04,2.95
"NEWPORT","VT",44.89,-72.24,"Dfb",247.36,175.75,95.02,2.33
"NORFOLK","NE",41.98,-97.44,"Dfa",478.85,54.74,859.82,4.87
"NORFOLK","VA",36.93,-76,"Cfa",0,16.25,0.36,5.69
"NORTH_PLATTE","NE",41.12,-100.6,"Dfa",877,45.92,872.95,5.04
"OKLAHOMA_CITY","OK",35.39,-97,"Cfa",338.06,38.46,411.73,5.39
"OLD_HARBOR","AK",57.2028,-153.3039,"Cfc",NA,NA,1860.6,5.15
"OLYMPIA","WA",46.97333,-122.90333,"Csb",61.03,90.1,5.15,3.01
"OMAHA","NE",41.31,-95,"Dfa",372.57,42.94,785.31,4.71
"ORLANDO","FL",28.55,-81.3,"Cfa",27.24,22.61,33.45,2.91
"PADUCAH","KY",37.06,-88.7,"Cfa",130.15,26.35,438.68,4.41
"PENDLETON","OR",45.69757,-118.8344,"Csa",452.64,248.87,266.9,2.65
"PEORIA","IL",40.67,-89.6,"Dfa",136.5,105.37,693.84,2.75
"PHILADELPHIA","PA",39.87,-75.2,"Cfa",-1.28,111.84,0.52,4.83
"PHOENIX","AZ",33.427799,-112.00346,"BWh",339.4,469.1,170.28,2.02
"PITTSBURGH","PA",40.36,-79.9,"Cfa",364.74,59.42,218.53,3.16
"PITTSFIELD","MA",42.43,-73.29,"Dfb",341,258.1,81.93,3.46
"PLAINVILLE","KS",39.2347,-99.2982,"Dfa",652.9,92.22,717.04,3.65
"POCATELLO","ID",42.88987,-112.4323,"Dfb",1423.1,259.02,707.4,3.13
"PONCE","PR",18.5,-67.13,"Am",62.15,62.14,341.82,NA
"PORTLAND","ME",43.64,-70,"Dfb",0,102.85,5.93,6.58
"PORTLAND","OR",45.59578,-122.6091,"Csb",6.8,191.9,56.32,3.86
"PRINCEVILLE","HI",21.98,-159.34,"As",33.44,432.32,2721.13,4.07
"PROVIDENCE","RI",41.72,-71.4,"Cfa",10.57,81.21,1.51,2.74
"PUEBLO","CO",38.29,-104.5,"BSk",1423.88,204.09,768.24,3.09
"RALEIGH_DURHAM","NC",35.89,-78.7,"Cfa",105.01,33.81,116.33,2.37
"RAPID_CITY","SD",44.05,-103,"BSk",973.32,162.24,1127.28,4.7
"RENO","NV",39.546,-119.82,"Csb",1407.95,824.68,154.48,2.02
"RICHMOND","CA",37.8771,-122.248,"Csb",278.37,276.99,3.98,2.95
"RICHMOND","RI",41.4945,-71.6708,"Cfb",37.4,174.54,10.07,2.77
"RICHMOND","VA",37.51,-77.32,"Cfa",48.12,27.43,12.04,3.52
"ROANOKE","VA",37.32,-79.9,"Cfa",351.87,294.53,180.92,2.36
"ROCHESTER","MN",43.9,-92.49,"Dfb",387.43,58.18,945.39,4.83
"ROCHESTER","NY",43.12,-77.6,"Dfb",160.62,73.65,237.69,3.59
"ROCKFORD","IL",42.19,-89,"Dfa",226.69,46.5,793.04,3.33
"RUTLAND","VT",43.53,-72.95,"Dfb",239.72,353.79,136.44,3.62
"SACRAMENTO","CA",38.50674,-121.4959,"Csa",6,27.28,27.95,2.67
"SALEM","OR",44.90493,-123.0009,"Csb",63.31,186.48,69.09,3.23
"SALMON","ID",45.11667,-113.88333,"Dfb",1231.31,980.29,602.82,1.55
"SALT_LAKE_CITY","UT",40.77069,-111.965,"Dfb",1288.42,749.95,639.96,2.43
"SAN_ANGELO","TX",31.35,-100.4,"Cfa",576.82,117.3,311.47,4
"SAN_ANTONIO","CA",38.14178,-122.5546,"Csb",1.19,142.33,4.1,3.21
"SAN_DIEGO","CA",32.73361,-117.183,"BSk",4.24,642.86,0.75,1.15
"SAN_FRANCISCO","CA",37.77056,-122.4269,"Csb",48.6,290.58,2.8,2.48
"SAN_JOSE","CA",37.35917,-121.9241,"Csb",15.13,488.14,10.15,2.16
"SAN_JUAN","PR",18.45,-66.11,"Am",0,2.2,403.25,NA
"SANTA_FE","NM",35.61,-106,"BSk",1998.64,1230.51,575.3,4.04
"SAVANNAH","GA",32.02,-81.1,"Cfa",6.37,10.52,7.18,3.06
"SEATTLE","WA",47.65,-122.3,"Csb",12.91,126.23,4.08,2.17
"SHREVEPORT","LA",32.45,-93.8,"Cfa",64.21,30.52,169.97,2.86
"SIOUX_CITY","IA",42.4,-96.3,"Dfa",330.78,85.47,873,4.3
"SIOUX_FALLS","SD",43.58,-96.7,"Dfa",438.89,54.64,958.28,4.03
"SOMERSET","KY",37.05,-84.62,"Cfa",274.62,54.55,405.4,3.26
